ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
C7880,8.0,,,
C7889,8.0,,,
C7900,8.0,,,
C7901,8.0,,,
C7902,8.0,,,
C7910,8.0,,,
C7911,8.0,,,
C7919,8.0,,,
C792,10.0,,,
C7931,8.0,,,
C7932,8.0,,,
C7940,8.0,,,
C7949,8.0,,,
C7951,8.0,,,
C7952,8.0,,,
C7960,8.0,,,
C7961,8.0,,,
C7962,8.0,,,
C7963,8.0,,,
C7970,8.0,,,
C7971,8.0,,,
C7972,8.0,,,
C7981,10.0,,,
C7982,10.0,,,
C7989,8.0,,,
C799,8.0,,,
C7A00,12.0,,,
C7A010,12.0,,,
C7A011,12.0,,,
C7A012,12.0,,,
C7A019,12.0,,,
C7A020,12.0,,,
C7A021,12.0,,,
C7A022,12.0,,,
C7A023,12.0,,,
C7A024,12.0,,,
C7A025,12.0,,,
C7A026,12.0,,,
C7A029,12.0,,,
C7A090,12.0,,,
C7A091,12.0,,,
C7A092,12.0,,,
C7A093,12.0,,,
C7A094,12.0,,,
C7A095,12.0,,,
C7A096,12.0,,,
C7A098,12.0,,,
C7A1,12.0,,,
C7A8,12.0,,,
C7B00,8.0,,,
C7B01,8.0,,,
C7B02,8.0,,,
C7B03,8.0,,,
C7B04,8.0,,,
C7B09,8.0,,,
C7B1,8.0,,,
C7B8,8.0,,,
C800,8.0,,,
C801,12.0,,,
C802,12.0,,,
C8100,10.0,,,
C8101,10.0,,,
C8102,10.0,,,
C8103,10.0,,,
C8104,10.0,,,
C8105,10.0,,,
C8106,10.0,,,
C8107,10.0,,,
C8108,10.0,,,
C8109,10.0,,,
C810A,10.0,,,
C8110,10.0,,,
C8111,10.0,,,
C8112,10.0,,,
C8113,10.0,,,
C8114,10.0,,,
C8115,10.0,,,
C8116,10.0,,,
C8117,10.0,,,
C8118,10.0,,,
C8119,10.0,,,
C811A,10.0,,,
C8120,10.0,,,
C8121,10.0,,,
C8122,10.0,,,
C8123,10.0,,,
C8124,10.0,,,
C8125,10.0,,,
C8126,10.0,,,
C8127,10.0,,,
C8128,10.0,,,
C8129,10.0,,,
C812A,10.0,,,
C8130,10.0,,,
C8131,10.0,,,
C8132,10.0,,,
C8133,10.0,,,
C8134,10.0,,,
C8135,10.0,,,
C8136,10.0,,,
C8137,10.0,,,
C8138,10.0,,,
C8139,10.0,,,
C813A,10.0,,,
C8140,10.0,,,
C8141,10.0,,,
C8142,10.0,,,
C8143,10.0,,,
C8144,10.0,,,
C8145,10.0,,,
C8146,10.0,,,
C8147,10.0,,,
C8148,10.0,,,
C8149,10.0,,,
C814A,10.0,,,
C8170,10.0,,,
C8171,10.0,,,
C8172,10.0,,,
C8173,10.0,,,
C8174,10.0,,,
C8175,10.0,,,
C8176,10.0,,,
C8177,10.0,,,
C8178,10.0,,,
C8179,10.0,,,
